Entropy	link	RST_Delay_Difference(s)
l	0.5	0.924600
h	0.5	18.256928
l	1	0.904928
h	1	9.129368
l	1.5	0.904920
h	1.5	6.086847
l	2	0.904916
h	2	4.565588
l	2.5	0.904914
h	2.5	3.652832
l	3	0.904912
h	3	3.044328
l	3.5	0.904911
h	3.5	2.609682
l	4	0.904910
h	4	2.283698
l	4.5	0.904909
h	4.5	2.030154
l	5	0.904909
h	5	1.827320
l	5.5	0.904909
h	5.5	1.661364
l	6.5	0.904908
h	6.5	1.406048
l	7	0.904908
h	7	1.305745
l	7.5	0.904907
h	7.5	1.218816
l	8	0.904907
h	8	1.142753
l	8.5	0.904907
h	8.5	1.075638
l	9	0.904907
h	9	1.015981
l	9.5	0.904906
h	9.5	0.962603
l	10	0.904907
h	10	0.914564
